,Population,Region,Region2,WolfID,Study,unpublished.vs.published,Estimation_Method,Date_median,Date_lowerrange,Date_upperrange,Lat,Lat,Long,DOY,originalDOY,originalMatingDate,InFigure2,DOY_lowerrange,DOY_upperrange,Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,day_change_rate_mating,originalMatingDate_5days_before,originalMatingDate_5days_after,daylength_5_days_before,daylength_5_days_after,mating_daylength_change,PC1,PC2,daylength_original_matingdate,mean_ndvi,sd_ndvi
48,Spain,Europe,Iberian,Llaneza-13,Llaneza,unpublished,Litter removed,5/13/93,5/10/93,5/15/93,43.25,43,-6.283333333,195,135,70,,,,9.379166603,8.991666794,22.39999962,4.583333492,15.75,15.91666698,3.799999952,1212,29.89209747,-0.343101084,65,75,11.19563658,11.69661932,0.500982737,-2.5013502,1.381996813,11.44502528,0.639747826,0.099084821
51,Spain,Europe,Iberian,Llaneza-16,Llaneza,unpublished,Litter removed,5/14/04,5/12/04,5/16/04,43.25,43,-4.116666667,195,135,70,,,,12.15416622,8.808333397,20,10.25,17.35000038,17.68333244,7.449999809,928,24.10725403,-0.344253155,65,75,11.19563658,11.69661932,0.500982737,-3.176347891,1.220396929,11.44502528,0.700252174,0.07550567
54,Spain,Europe,Iberian,Llaneza-19,Llaneza,unpublished,Litter removed,5/11/99,5/8/99,5/14/99,43.25,43,-7.133333333,192,132,67,,,,10.97500038,9.399999619,21.60000038,6.683333397,16.56666565,16.79999924,5.949999809,1329,39.5840416,-0.341724799,62,72,11.04751825,11.54545721,0.497938961,-3.020406046,1.167866243,11.29505874,0.768256522,0.042608288
50,Spain,Europe,Iberian,Llaneza-15,Llaneza,unpublished,Litter removed,5/22/94,5/20/94,5/25/94,43.26666667,43,-6.083333333,203,143,78,,,,10,8.866666794,21.79999924,5.333333492,16.10000038,16.28333282,4.566666603,1118,27.37507057,-0.346898197,73,83,11.59554832,12.10126889,0.505720572,-2.701721671,1.447164555,11.84811608,0.685695652,0.075580363
42,Spain,Europe,Iberian,Llaneza-7,Llaneza,unpublished,Litter removed,5/25/87,5/20/87,6/1/87,43.3,43,-6.716666667,206,146,81,,,,10.9416666,9.583333015,21.89999962,8.633333206,16.73333359,16.88333321,5.716666698,1210,38.05062103,-0.347663202,76,86,11.74666861,12.25333139,0.506662776,-2.739435808,0.875428603,12,0.606717391,0.12903182
40,Spain,Europe,Iberian,Llaneza-5,Llaneza,unpublished,Litter removed,5/28/85,5/25/85,6/1/85,43.31666667,43,-6.716666667,210,150,85,,,,10.14583302,9.408333778,22.10000038,7.833333492,16.11666679,16.26666641,4.866666794,1273,36.01517868,-0.347843773,80,90,11.94927306,12.45560496,0.506331899,-2.712260294,1.075757656,12.20283003,0.698282609,0.09098171
47,Spain,Europe,Iberian,Llaneza-12,Llaneza,unpublished,Litter removed,5/27/93,5/25/93,5/30/93,43.31666667,43,-7.083333333,209,149,84,,,,11.45416641,9.041666985,20.29999924,7.400000095,16.66666603,16.89999962,6.683333397,1273,38.3953743,-0.347892824,79,89,11.89855388,12.40516012,0.50660624,-3.062536464,1.128520706,12.15214975,0.763021739,0.067278816
49,Spain,Europe,Iberian,Llaneza-14,Llaneza,unpublished,Litter removed,5/3/93,5/1/93,5/6/93,43.33333333,43,-7.033333333,186,126,61,,,,10.0625,9.108333588,21.39999962,5.766666412,15.80000019,16.03333282,4.983333588,1362,37.29333115,-0.335913504,56,66,10.75223695,11.24307645,0.490839505,-2.748967851,1.234527316,10.9955143,0.749656522,0.075434914
30,Spain,Europe,Iberian,Lopezbao-2,Lopezbao,unpublished,GPS,5/16/18,,,43.349828,43,-6.932772,197,137,72,,,,9.904166222,8.908333778,21.60000038,5.483333111,15.85000038,16.06666756,4.716666698,1361,36.19827271,-0.345961781,67,77,11.29258657,11.7969346,0.504348027,-2.717471403,1.266932758,11.54386583,0.723673913,0.075781673
46,Spain,Europe,Iberian,Llaneza-11,Llaneza,unpublished,Litter removed,5/22/91,5/20/91,5/24/91,43.38333333,43,-7.066666667,203,143,78,,,,11.375,8.666666985,19.70000076,7.483333111,16.46666718,16.76666641,6.766666412,1292,36.79168701,-0.348318361,73,83,11.59389347,12.10168287,0.507789407,-3.077222752,1.186172173,11.84749514,0.747547826,0.065259627
31,Spain,Europe,Iberian,Lopezbao-3,Lopezbao,unpublished,GPS,5/29/18,,,43.391736,43,-6.685308,210,150,85,,,,12.48333359,9.116666794,19.70000076,10.66666603,17.38333321,17.63333321,7.916666508,1102,37.60205078,-0.348667806,80,90,11.94913974,12.4568038,0.507664066,-3.27551945,0.928461835,12.20336323,0.768717391,0.072669962
29,Spain,Europe,Iberian,Lopezbao-1,Lopezbao,unpublished,GPS,5/19/17,,,43.440081,43,-6.613698,201,141,76,,,,10.70416641,9.041666985,20.80000114,8.633333206,16.23333359,16.45000076,5.816666603,1226,33.36293411,-0.348250211,71,81,11.49183036,12,0.508169642,-2.917530157,1.161829048,11.74542437,0.5113,0.071045312
53,Spain,Europe,Iberian,Llaneza-18,Llaneza,unpublished,Litter removed,5/15/98,5/12/98,5/17/98,43.46666667,43,-7.55,196,136,71,,,,9.850000381,8.416666985,19.89999962,5.950000286,15.26666641,15.55000019,5.183333397,1542,36.94478226,-0.346888705,66,76,11.23952813,11.74518758,0.505659455,-2.71152838,1.259300973,11.49135716,0.636013043,0.092327999
,Spain,Europe,Iberian,,Llaneza,,Litter removed,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,
