lon,lat
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-150.48638,63.6352304
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-143.22796,65.046937
-135.76367,67.8361967
-135.76367,67.8361967
-135.76367,67.8361967
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-85.98352587,80.01144004
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
-92.991284,48.4110465
