,Population,Region,Region2,WolfID,WolfID_2,unpublished.vs.published,Estimation_Method,Date_median,Date_lowerrange,Date_upperrange,Lat,Lat,Long,DOY,originalDOY,originalMatingDate,Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,day_change_rate_mating,originalMatingDate_5days_before,originalMatingDate_5days_after,daylength_5_days_before,daylength_5_days_after,mating_daylength_change,PC1,PC2,daylength_original_matingdate,mean_ndvi,sd_ndvi
7,Indian,Indian,Indian,Mihir-3,,unpublished,Cameratrap,12/16/18,,,18.211,18,74.232,47,-13,285,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.117955941,280,290,11.71052229,11.54180581,-0.168716473,-5.339049995,-1.984808928,11.6251888,0.315134783,0.149193695
8,Indian,Indian,Indian,Mihir-3,,unpublished,Cameratrap,12/28/19,,,18.211,18,74.232,59,-1,297,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.113175488,292,302,11.50911521,11.35286771,-0.156247507,-5.339049995,-1.984808928,11.42935405,0.315134783,0.149193695
9,Indian,Indian,Indian,Mihir-3,,unpublished,Cameratrap,12/20/20,,,18.211,18,74.232,51,-9,289,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.116394166,284,294,11.64211563,11.47685563,-0.165260002,-5.339049995,-1.984808928,11.55830168,0.315134783,0.149193695
10,Indian,Indian,Indian,Mihir-3,,unpublished,Cameratrap,1/5/22,,,18.211,18,74.232,64,4,305,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.107747721,300,310,11.38303069,11.2388481,-0.144182587,-5.339049995,-1.984808928,11.30880223,0.315134783,0.149193695
341,Indian,Indian,Indian,Habib-3,,unpublished,Pup sighting - Around 2 month old pup seen on 07-02-2019,12/7/19,,,18.2164,18,74.2274,38,-22,276,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.119485502,271,281,11.86744698,11.69322616,-0.174220827,-5.352535613,-1.974984505,11.77979255,0.311991304,0.145239463
347,Indian,Indian,Indian,Habib-5,,unpublished,GPS captured wolf that was pregnant -  Captured on 22.01.2018 and she was probably about to deliver pups,1/23/18,,,18.229,18,74.242,82,22,322,25.29166603,13.51666641,24.90000153,24.76666641,24.35000038,28.98333359,22.18333244,455,90.16877747,0.086783627,317,327,11.14845082,11.04093501,-0.107515811,-5.455430964,-1.905255477,11.09141519,0.290004348,0.105281486
20,Indian,Indian,Indian,Mihir-9,,unpublished,Cameratrap,2/15/20,,,18.266,18,74.327,105,45,347,25.44583321,13.84166718,25.70000076,24.98333359,24.35000038,29.28333282,22.06666565,453,91.59803009,0.038467785,342,352,10.9325747,10.90439084,-0.02818386,-5.398869003,-2.026466561,10.91398819,0.388613043,0.119804125
21,Indian,Indian,Indian,Mihir-9,,unpublished,Cameratrap,1/3/21,,,18.266,18,74.327,63,3,303,25.44583321,13.84166718,25.70000076,24.98333359,24.35000038,29.28333282,22.06666565,453,91.59803009,0.108896662,298,308,11.41187568,11.26389433,-0.147981342,-5.398869003,-2.026466561,11.33587028,0.388613043,0.119804125
24,Indian,Indian,Indian,Mihir-11,,unpublished,Cameratrap,1/3/21,,,18.359,18,74.43,63,3,303,25.3125,13.42499924,24.89999962,24.81666756,24.23333359,29.11666679,22.04999924,464,91.23462677,0.109498912,298,308,11.40866021,11.25986525,-0.148794963,-5.281762304,-2.070202208,11.33223728,0.3201,0.157521831
25,Indian,Indian,Indian,Mihir-11,,unpublished,Cameratrap,11/22/21,,,18.359,18,74.43,22,326,261,25.3125,13.42499924,24.89999962,24.81666756,24.23333359,29.11666679,22.04999924,464,91.23462677,0.1196679,99,109,12.31799974,12.48696095,0.168961204,-5.281762304,-2.070202208,12.40354127,0.3201,0.157521831
