Captive_vs_Wild,adjusted_DOBirthYOD
Captive,207
Captive,207
Captive,207
Captive,207
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,208
Captive,209
Captive,209
Captive,209
Captive,209
Captive,210
Captive,210
Captive,210
Captive,210
Captive,210
Captive,210
Captive,210
Captive,210
Captive,211
Captive,211
Captive,211
Captive,211
Captive,211
Captive,211
Captive,211
Captive,211
Captive,211
Captive,212
Captive,212
Captive,212
Captive,212
Captive,212
Captive,212
Captive,212
Captive,212
Captive,212
Captive,212
Captive,213
Captive,213
Captive,213
Captive,213
Captive,213
Captive,213
Captive,213
Captive,213
Captive,213
Captive,214
Captive,214
Captive,214
Captive,214
Captive,214
Captive,215
Captive,215
Captive,215
Captive,215
Captive,216
Captive,216
Captive,216
Captive,216
Captive,217
Captive,217
Captive,218
Captive,218
Captive,218
Captive,219
Captive,219
Captive,219
Captive,219
Captive,220
Captive,220
Captive,221
Captive,221
Captive,221
Captive,221
Captive,221
Captive,221
Captive,222
Captive,222
Captive,223
Captive,223
Captive,223
Captive,224
Captive,224
Captive,224
Captive,224
Captive,225
Captive,226
Captive,226
Captive,227
Captive,227
Captive,228
Captive,231
Captive,233
Captive,233
Captive,234
Captive,236
Captive,241
Captive,242
Captive,243
Captive,246
Captive,252
Captive,254
Captive,254
Captive,257
Captive,262
Captive,263
Captive,277
Captive,284
Captive,348
Captive,353
Captive,365
Captive,6
Captive,9
Captive,12
Captive,13
Captive,25
Captive,32
Captive,35
Captive,37
Captive,38
Captive,40
Captive,42
Captive,45
Captive,47
Captive,50
Captive,53
Captive,55
Captive,57
Captive,61
Wild,26
Wild,29
Wild,35
Wild,26
Wild,35
Wild,51
Wild,36
Wild,75
Wild,104
Wild,95
Wild,85
Wild,59
Wild,53
Wild,106
Wild,74
Wild,50
Wild,47
Wild,59
Wild,51
Wild,64
Wild,38
Wild,82
Wild,105
Wild,63
Wild,63
Wild,22
Wild,104
Wild,61
Wild,47
Wild,67
Wild,93
Wild,95
Wild,61
Wild,78
Wild,51
Wild,35
Wild,75
Wild,152
Wild,44
Wild,46
Wild,52
Wild,158
Wild,59
Wild,59
Wild,129
Wild,140
Wild,162
Wild,165
Wild,196
Wild,198
Wild,184
Wild,190
Wild,192
Wild,193
Wild,160
Wild,160
Wild,182
Wild,204
Wild,198
Wild,189
Wild,151
Wild,132
Wild,211
Wild,205
Wild,170
Wild,139
Wild,196
Wild,221
Wild,179
Wild,151
Wild,181
Wild,121
Wild,189
Wild,221
Wild,156
Wild,213
Wild,203
Wild,209
Wild,208
Wild,197
Wild,194
Wild,195
Wild,202
Wild,194
Wild,189
Wild,200
Wild,202
Wild,212
Wild,207
Wild,209
Wild,207
Wild,195
Wild,195
Wild,192
Wild,203
Wild,206
Wild,210
Wild,209
Wild,186
Wild,197
Wild,203
Wild,210
Wild,201
Wild,196
Wild,154
Wild,163
Wild,180
Wild,162
Wild,157
Wild,162
Wild,167
Wild,161
Wild,159
Wild,180
Wild,179
Wild,184
Wild,183
Wild,172
Wild,183
Wild,185
Wild,187
Wild,188
Wild,191
Wild,201
Wild,182
Wild,179
Wild,162
Wild,178
Wild,180
Wild,166
Wild,166
Wild,184
Wild,171
Wild,175
Wild,193
Wild,190
Wild,179
Wild,169
Wild,182
Wild,174
Wild,173
Wild,155
Wild,167
Wild,149
Wild,168
Wild,181
Wild,184
Wild,177
Wild,167
Wild,178
Wild,174
Wild,176
Wild,177
Wild,174
Wild,181
Wild,167
Wild,156
Wild,173
Wild,178
Wild,179
Wild,169
Wild,178
Wild,172
Wild,172
Wild,190
Wild,175
Wild,154
Wild,195
Wild,191
Wild,183
Wild,173
Wild,175
Wild,165
Wild,180
Wild,191
Wild,183
Wild,184
Wild,186
Wild,178
Wild,180
Wild,175
Wild,186
Wild,179
Wild,179
Wild,178
Wild,183
Wild,186
Wild,182
Wild,176
Wild,183
Wild,185
Wild,180
Wild,193
Wild,188
Wild,195
Wild,173
Wild,170
Wild,198
Wild,167
Wild,189
Wild,167
Wild,186
Wild,168
Wild,188
Wild,193
Wild,186
Wild,183
Wild,184
Wild,178
Wild,193
Wild,178
Wild,193
Wild,194
Wild,188
Wild,187
Wild,176
Wild,192
Wild,201
Wild,197
Wild,192
Wild,201
Wild,194
Wild,158
Wild,175
Wild,191
Wild,175
Wild,184
Wild,174
Wild,189
Wild,157
Wild,191
Wild,199
Wild,185
Wild,166
Wild,183
Wild,195
Wild,198
Wild,168
Wild,195
Wild,195
Wild,185
Wild,189
Wild,198
Wild,189
Wild,181
Wild,157
Wild,140
Wild,195
Wild,187
Wild,184
Wild,187
Wild,132
Wild,183
Wild,199
Wild,197
Wild,193
Wild,174
Wild,182
Wild,201
Wild,175
Wild,181
Wild,186
Wild,199
Wild,195
Wild,190
Wild,155
Wild,141
Wild,165
Wild,184
Wild,197
Wild,191
Wild,202
Wild,193
Wild,196
Wild,187
Wild,180
Wild,187
Wild,146
Wild,178
Wild,198
Wild,194
Wild,186
Wild,194
Wild,186
Wild,178
Wild,186
Wild,220
Wild,194
Wild,168
Wild,182
Wild,177
Wild,178
Wild,153
Wild,187
Wild,172
Wild,179
Wild,179
Wild,200
Wild,184
Wild,197
Wild,190
Wild,190
Wild,198
Wild,195
Wild,193
Wild,188
Wild,187
Wild,201
Wild,191
Wild,193
Wild,208
Wild,197
Wild,192
Wild,197
Wild,176
Wild,189
Wild,190
Wild,194
Wild,196
Wild,201
Wild,194
Wild,189
Wild,191
Wild,188
Wild,200
Wild,191
Wild,171
Wild,199
Wild,203
Wild,199
Wild,195
Wild,195
Wild,196
Wild,188
Wild,199
Wild,185
Wild,184
Wild,188
Wild,199
Wild,190
Wild,207
Wild,187
Wild,179
Wild,187
Wild,191
Wild,180
Wild,183
Wild,190
Wild,155
Wild,197
Wild,184
Wild,188
Wild,187
Wild,190
Wild,194
Wild,193
Wild,180
Wild,183
Wild,199
Wild,188
Wild,191
Wild,187
Wild,188
Wild,201
Wild,193
Wild,189
Wild,198
Wild,185
Wild,200
Wild,186
Wild,180
Wild,184
Wild,189
Wild,184
Wild,202
Wild,192
Wild,203
Wild,194
Wild,191
Wild,205
Wild,198
Wild,219
Wild,212
Wild,215
Wild,213
Wild,217
Wild,226
Wild,204
Wild,211
Wild,157
Wild,157
Wild,155
Wild,170
Wild,165
Wild,159
Wild,149
Wild,173
Wild,163
Wild,163
Wild,170
Wild,159
Wild,163
Wild,172
Wild,172
Wild,171
Wild,168
Wild,159
Wild,157
Wild,162
Wild,166
Wild,158
Wild,165
Wild,177
Wild,161
Wild,155
Wild,156
Wild,166
Wild,176
Wild,165
Wild,169
Wild,172
Wild,171
Wild,169
Wild,166
Wild,156
Wild,158
Wild,163
Wild,155
Wild,162
Wild,163
Wild,171
Wild,165
Wild,162
Wild,168
Wild,168
Wild,164
Wild,164
Wild,159
Wild,179
Wild,152
Wild,155
Wild,170
Wild,168
Wild,169
Wild,165
Wild,170
Wild,179
Wild,176
Wild,173
Wild,165
Wild,161
Wild,159
Wild,153
Wild,166
Wild,169
Wild,167
Wild,159
Wild,169
Wild,169
Wild,172
Wild,177
Wild,169
Wild,169
Wild,169
Wild,171
Wild,171
Wild,177
Wild,175
Wild,186
Wild,187
Wild,171
Wild,171
Wild,169
Wild,180
Wild,175
Wild,159
Wild,164
Wild,163
Wild,166
Wild,172
Wild,164
Wild,173
Wild,166
Wild,165
Wild,179
Wild,170
Wild,177
Wild,173
Wild,159
Wild,172
Wild,164
Wild,163
Wild,159
Wild,167
Wild,164
Wild,173
Wild,158
Wild,163
Wild,163
Wild,169
Wild,170
Wild,172
Wild,159
Wild,173
Wild,176
Wild,159
Wild,158
Wild,158
Wild,154
Wild,154
Wild,162
Wild,163
Wild,159
Wild,184
Wild,180
Wild,182
Wild,166
Wild,168
Wild,165
Wild,170
Wild,182
Wild,160
Wild,165
