"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"1",-5.79768319847943,-1.90538462730972,-0.573507784099482,-0.0395522402715483,0.220466883585286,-0.0166494212771913,0.0291789056490784,0.00774355594500034
"2",-5.52382240900755,-1.72964313053276,-0.633051301813652,-0.0669553088026142,0.31451376272571,-0.00842928117438872,0.0059008077155763,0.0155919899031578
"3",-5.52382240900755,-1.72964313053276,-0.633051301813652,-0.0669553088026142,0.31451376272571,-0.00842928117438872,0.0059008077155763,0.0155919899031578
"4",-5.52382240900755,-1.72964313053276,-0.633051301813652,-0.0669553088026142,0.31451376272571,-0.00842928117438872,0.0059008077155763,0.0155919899031578
"5",-5.52382240900755,-1.72964313053276,-0.633051301813652,-0.0669553088026142,0.31451376272571,-0.00842928117438872,0.0059008077155763,0.0155919899031578
"6",-5.44525161778669,-2.74344207754107,-0.444097321556698,-0.92990958332284,0.289230807599076,0.130885225664633,0.0546146567242627,0.0258933616995709
"7",-5.64065359063131,-2.59292043831947,-0.143926538725519,-0.52008012586358,0.298040581133581,0.132759175564269,0.0124683173113236,0.033941142775517
"8",-5.56050665742237,-2.66007660513267,-0.279963780985339,-0.701882245260152,0.3151277505198,0.134660063641824,0.0414168267171075,0.0308185878405126
"9",-5.43299771981929,-2.21043164117346,-0.126268089258042,-0.192769323063799,0.186680119616394,0.104267227480943,-0.0951250500505736,0.024927162139129
"10",-5.43299771981929,-2.21043164117346,-0.126268089258042,-0.192769323063799,0.186680119616394,0.104267227480943,-0.0951250500505736,0.024927162139129
"11",-5.31835414647304,-1.94443577322029,-0.360482678742085,-0.217761289622772,0.159900212240594,0.0909718250327621,-0.101279854265584,0.0358098231370309
"12",-5.41928392811982,-2.12684971076215,-0.102167086849456,-0.199059014098424,0.0519860183122757,0.110691641699764,-0.12788235348832,0.0443271125335859
"13",-5.348231949748,-1.97604438261141,-0.286523007858907,-0.20609947616183,0.0903232728092611,0.0931718058211724,-0.112172578411275,0.0440676282718619
"14",-5.32252166722575,-2.69431581548023,0.032396372907381,-0.34515868051911,0.391399752319517,0.258183614328568,-0.0414116679362205,0.00204554402313231
"15",-5.33904999452829,-1.98480892776658,-0.301298702733441,-0.227220100930762,0.0950662299672285,0.0928248985721557,-0.110319376874672,0.0427633422352772
